[2026-08-03 20:33:29.078453] ExtractSubtitles - New Run
[2026-08-03 20:33:29.078500] 	Arguments: /home/arthur/bin/Python/ExtractSubtitles.py -d /var/lib/plexmediaserver/Library/Application Support/Plex Media Server/Plug-in Support/Databases -o /mnt/storage_01/tmp/plex_extracted_subtitles
[2026-08-03 20:33:29.078569] VERBOSE: Retrieving all subtitles from the blobs database
[2026-08-03 20:33:29.112882] VERBOSE: Found 35 subtitle(s) in the blobs database
[2026-08-03 20:33:29.112903] VERBOSE: Correlating subtitles to file names
[2026-08-03 20:33:29.120959] ERROR: Não foi possível encontrar arquivo de mídia associado ao stream id 22352.
[2026-08-03 20:33:29.121347] ERROR: Não foi possível encontrar arquivo de mídia associado ao stream id 22358.
[2026-08-03 20:33:29.121415] ERROR: Não foi possível encontrar arquivo de mídia associado ao stream id 22376.
[2026-08-03 20:33:29.121471] ERROR: Não foi possível encontrar arquivo de mídia associado ao stream id 22391.
[2026-08-03 20:33:29.125110] ERROR: Não foi possível encontrar arquivo de mídia associado ao stream id 22739.
[2026-08-03 20:33:29.126646] ERROR: Não foi possível encontrar arquivo de mídia associado ao stream id 22842.
[2026-08-03 20:33:29.126710] ERROR: Não foi possível encontrar arquivo de mídia associado ao stream id 22869.
[2026-08-03 20:33:29.126954] ERROR: Não foi possível encontrar arquivo de mídia associado ao stream id 22931.
[2026-08-03 20:33:29.127502] ERROR: Não foi possível encontrar arquivo de mídia associado ao stream id 23650.
[2026-08-03 20:33:29.127834] ERROR: Não foi possível encontrar arquivo de mídia associado ao stream id 23737.
[2026-08-03 20:33:29.128913] ERROR: Não foi possível encontrar arquivo de mídia associado ao stream id 23894.
[2026-08-03 20:33:29.130242] VERBOSE: Correlated subtitles to file names
[2026-08-03 20:33:29.167720] VERBOSE: The.Desperate.Hour.2021.1080p.WEBRip.x264-RARBG.por.srt existe, ignorando.
[2026-08-03 20:33:29.167822] VERBOSE: Dune.2021.1080p.HDRip.X264-EVO.por.srt existe, ignorando.
[2026-08-03 20:33:29.167866] VERBOSE: The.Agency.2024.S02E01.1080p.HEVC.x265-MeGusta[EZTVx.to].por.srt existe, ignorando.
[2026-08-03 20:33:29.167903] VERBOSE: The.Agency.2024.S02E02.1080p.HEVC.x265-MeGusta[EZTVx.to].por.srt existe, ignorando.
[2026-08-03 20:33:29.167940] VERBOSE: The.Agency.2024.S02E03.1080p.HEVC.x265-MeGusta[EZTVx.to].por.srt existe, ignorando.
[2026-08-03 20:33:29.167973] VERBOSE: The.Agency.2024.S02E04.1080p.HEVC.x265-MeGusta.por.srt existe, ignorando.
[2026-08-03 20:33:29.168007] VERBOSE: The.Agency.2024.S02E05.1080p.HEVC.x265-MeGusta[EZTVx.to].por.srt existe, ignorando.
[2026-08-03 20:33:29.168041] VERBOSE: The.Agency.2024.S02E06.1080p.HEVC.x265-MeGusta[EZTVx.to].por.srt existe, ignorando.
[2026-08-03 20:33:29.168075] VERBOSE: The.Agency.2024.S02E07.1080p.HEVC.x265-MeGusta[EZTVx.to].por.srt existe, ignorando.
[2026-08-03 20:33:29.168107] VERBOSE: The.Agency.2024.S02E08.1080p.HEVC.x265-MeGusta[EZTVx.to].por.srt existe, ignorando.
[2026-08-03 20:33:29.168141] VERBOSE: The.Agency.2024.S02E09.1080p.HEVC.x265-MeGusta.por.srt existe, ignorando.
[2026-08-03 20:33:29.168174] VERBOSE: The.Agency.2024.S02E10.1080p.HEVC.x265-MeGusta[EZTVx.to].por.srt existe, ignorando.
[2026-08-03 20:33:29.168207] VERBOSE: Outcast.S01E01.WEB-DL.x264-FUM.por.srt existe, ignorando.
[2026-08-03 20:33:29.168241] VERBOSE: Miami.Vice.2006.720p.BluRay.x264.YIFY.por.srt existe, ignorando.
[2026-08-03 20:33:29.168274] VERBOSE: Zero.Dark.Thirty.2012.1080p.BrRip.x264.BOKUTOX.YIFY.por.srt existe, ignorando.
[2026-08-03 20:33:29.168310] VERBOSE: A.House.Of.Dynamite.2025.1080p.WEBRip.x264.AAC5.1-[YTS.MX].por.srt existe, ignorando.
[2026-08-03 20:33:29.168352] VERBOSE: Disclosure.Day.2026.1080p.WEBRip.x264.AAC5.1-YTS.GG-YTS.BZ.por.srt existe, ignorando.
[2026-08-03 20:33:29.168387] VERBOSE: Fatale.2020.1080p.BluRay.x264.AAC5.1-YTS.MX.por.srt existe, ignorando.
[2026-08-03 20:33:29.168421] VERBOSE: Red.Riding.S01E01.WS.PDTV.XviD-RiVE.por.srt existe, ignorando.
[2026-08-03 20:33:29.168455] VERBOSE: Anon.2018.1080p.BluRay.x264-YTS.AM.por.srt existe, ignorando.
[2026-08-03 20:33:29.168490] VERBOSE: Gunche.2026.1080p.WEBRip.x264.AAC-YTS.GG-YTS.BZ.por.srt existe, ignorando.
[2026-08-03 20:33:29.168526] VERBOSE: The.Knick.S02E07.HDTV.x264-KILLERS-ettv-.por.srt existe, ignorando.
[2026-08-03 20:33:29.168565] VERBOSE: Stillwater.2021.1080p.BluRay.x264.AAC5.1-YTS.MX.por.srt existe, ignorando.
[2026-08-03 20:33:29.168600] VERBOSE: The.Hurt.Locker.2008.1080p.BluRay.x264.AAC5.1-YTS.MX.por.srt existe, ignorando.
